Name	Year	Female	Male
Tracy	1899	5	12
Unknown	1899	10	8
Van	1899		32
Vernon	1899	10	130
Whitney	1899		9
Willie	1899	806	1088
Addison	1900		11
Adrian	1900		27
Allie	1900	286	27
Allison	1900		9
Alva	1900	67	73
Andrea	1900	13	
Angel	1900		6
Antonia	1900	52	
Ariel	1900	5	
Asa	1900		30
Ashley	1900		5
Ashton	1900		6
Aubrey	1900	5	62
August	1900		148
Avery	1900	6	12
Bailey	1900		19
Bennie	1900	41	154
Beverly	1900	13	8
Billie	1900	76	24
Billy	1900		36
Blair	1900		10
Bobbie	1900	35	6
Bobby	1900	5	7
Brooks	1900		12
Cameron	1900		9
Carey	1900		26
Carmen	1900	91	10
Carol	1900	70	6
Carroll	1900		69
Carson	1900		16
Carter	1900		31
Cary	1900	5	12
Casey	1900		13
Cecil	1900	129	344
Chandler	1900		5
Charley	1900		224
Charlie	1900	27	1124
Chris	1900		45
Christian	1900		35
Clare	1900	63	10
Cleo	1900	198	32
Clyde	1900	65	451
Connie	1900	59	20
Courtney	1900	10	10
Cruz	1900	6	
Dale	1900	16	54
Dallas	1900	9	40
Dana	1900	20	19
Dean	1900	13	47
Dee	1900	10	35
Donnie	1900	54	7
Drew	1900		8
Eddie	1900	93	425
Elisha	1900		37
Elliot	1900		9
Elliott	1900		33
Ellis	1900		120
Emerson	1900		34
Emery	1900		42
Emory	1900		52
Erin	1900	9	
Fay	1900	170	30
Finley	1900		8
Francis	1900	159	652
Frankie	1900	71	
Freddie	1900	35	63
Gail	1900	28	9
Gale	1900	10	10
Gayle	1900	9	7
Gene	1900	26	48
Guadalupe	1900	39	11
Harley	1900		79
Harper	1900		7
Hayden	1900		10
Hunter	1900		12
Ira	1900	50	218
Ivy	1900	76	19
Jackie	1900	12	
Jamie	1900	20	6
Jean	1900	473	22
Jerry	1900	15	205
Jessie	1900	1422	397
Jewel	1900	162	22
Jewell	1900	177	15
Jimmie	1900	98	118
Jimmy	1900		42
Joan	1900	57	
Jodie	1900	10	11
Johnie	1900	35	130
Johnnie	1900	164	313
Jordan	1900		11
Joy	1900	27	10
June	1900	126	9
Justine	1900	32	
Kay	1900	26	7
Kelley	1900		17
Kelly	1900		33
Kirby	1900		13
Kyle	1900		7
Lacy	1900	16	33
Laurel	1900	10	
Lauren	1900		9
Laverne	1900	39	11
Lee	1900	138	675
Leighton	1900		6
Lesley	1900		10
Leslie	1900	30	275
Lindsay	1900		15
Lindsey	1900		19
Logan	1900		22
Lois	1900	577	10
London	1900		5
Lonnie	1900	33	186
Loren	1900		44
Lou	1900	140	13
Louie	1900	21	61
Lupe	1900	18	9
Lynn	1900	8	41
Madison	1900		17
Marion	1900	1197	189
Mckinley	1900		133
Meredith	1900	5	6
Merle	1900	113	54
Mickey	1900	6	
Monroe	1900		89
Morgan	1900		31
Noel	1900		18
Nova	1900	29	
Oakley	1900		6
Odell	1900	29	29
Ollie	1900	585	109
Ora	1900	463	42
Paris	1900		9
Parker	1900		17
Pat	1900		50
Patsy	1900	49	12
Perry	1900		142
Presley	1900		5
Quincy	1900	9	16
Ray	1900	35	457
Reece	1900		6
Reese	1900		10
Rene	1900	11	10
Riley	1900		53
Robbie	1900	47	
Royce	1900		11
Sammie	1900	22	32
Sandy	1900		22
Shelby	1900		20
Shelly	1900		8
Shirley	1900	110	32
Sidney	1900	23	218
Spencer	1900		44
Stacy	1900		6
Sterling	1900		38
Sullivan	1900		10
Sydney	1900		13
Taylor	1900		48
Teddy	1900		16
Terrell	1900		8
Terry	1900		21
Toby	1900		5
Tommie	1900	57	81
Tommy	1900		42
Tracy	1900	6	13
Unknown	1900	15	16
Van	1900	5	57
Vernon	1900	16	170
Whitney	1900		7
Willie	1900	1351	2113
Addison	1901		9
Adrian	1901		29
Allie	1901	214	18
Allison	1901		7
Alva	1901	49	59
Andrea	1901	12	
Antonia	1901	58	
Asa	1901		25
Ashley	1901		10
Aubrey	1901	11	43
August	1901		116
Avery	1901		19
Bailey	1901		12
Bennie	1901	27	100
Beverly	1901	5	
Billie	1901	52	14
Billy	1901		18
Blair	1901		6
Bobbie	1901	30	
Bobby	1901	7	
Brooks	1901		16
Carey	1901		11
Carmen	1901	76	12
Carol	1901	61	
Carroll	1901		46
Carson	1901		11
Carter	1901		13
Cary	1901		10
Casey	1901		7
Cecil	1901	128	278
Charley	1901	7	158
Charlie	1901	28	654
Chris	1901		26
Christian	1901		38
Clare	1901	47	12
Cleo	1901	160	26
Clyde	1901	62	356
Connie	1901	42	10
Courtney	1901		9
Cruz	1901	7	
Dale	1901	9	40
Dallas	1901		29
Dana	1901	6	11
Dean	1901	6	32
Dee	1901	17	16
Donnie	1901	40	7
Eddie	1901	55	296
Elisha	1901		19
Elliott	1901		17
Ellis	1901	6	74
Emerson	1901		25
Emery	1901		35
Emory	1901		44
Fay	1901	151	26
Finley	1901		8
Francis	1901	126	543
Frankie	1901	59	7
Freddie	1901	25	29
Gail	1901	25	12
Gale	1901		11
Gayle	1901	9	
Gene	1901	23	31
Guadalupe	1901	38	19
Harley	1901		63
Hayden	1901		7
Hunter	1901		8
Ira	1901	29	142
Ivy	1901	68	14
Jackie	1901	7	
Jamie	1901	20	
Jean	1901	329	31
Jerry	1901		116
Jessie	1901	1116	231
Jewel	1901	161	13
Jewell	1901	159	14
Jimmie	1901	76	99
Jimmy	1901		18
Joan	1901	52	
Jodie	1901	6	8
Johnie	1901	23	86
Johnnie	1901	110	162
Jordan	1901		12
Joy	1901	25	
June	1901	113	12
Justine	1901	26	
Kay	1901	22	
Kaye	1901	6	
Kelley	1901		8
Kelly	1901		12
Kirby	1901		8
Lacy	1901	21	16
Laurel	1901	15	
Laverne	1901	42	8
Lee	1901	95	424
Lesley	1901		6
Leslie	1901	29	198
Lindsay	1901		5
Lindsey	1901		12
Logan	1901		8
Lois	1901	488	6
Lonnie	1901	21	148
Loren	1901		44
Lou	1901	96	7
Louie	1901	11	58
Lupe	1901	15	
Lynn	1901	6	27
Madison	1901		7
Marion	1901	963	159
Mckinley	1901		77
Meredith	1901		8
Merle	1901	91	52
Monroe	1901		62
Morgan	1901		16
Noel	1901		16
Nova	1901	23	
Oakley	1901		8
Odell	1901	16	19
Ollie	1901	462	81
Ora	1901	400	34
Paris	1901		9
Parker	1901		9
Pat	1901		32
Patsy	1901	29	13
Perry	1901	6	87
Quincy	1901		5
Ray	1901	17	338
Reece	1901		5
Reese	1901		9
Rene	1901	12	9
Riley	1901		30
Robbie	1901	30	
Robin	1901		5
Sammie	1901	20	19
Sandy	1901		13
Shelby	1901		14
Shelly	1901		8
Shirley	1901	95	10
Sidney	1901	17	134
Spencer	1901		30
Stacy	1901	5	
Sterling	1901		28
Sydney	1901	7	13
Taylor	1901		25
Teddy	1901		15
Terrell	1901		5
Terry	1901		13
Tommie	1901	46	55
Tommy	1901		31
Tracy	1901	5	11
Unknown	1901	6	9
Van	1901		34
Vernon	1901	8	129
Willie	1901	901	1294
Addison	1902		14
Adrian	1902		26
Allie	1902	261	29
Allison	1902		9
Alva	1902	54	60
Andrea	1902	21	
Antonia	1902	43	
Asa	1902		21
Ashley	1902		14
Ashton	1902		8
Aubrey	1902	6	49
August	1902		108
Avery	1902	7	18
Bailey	1902		10
Bennie	1902	33	124
Beverly	1902	12	12
Billie	1902	70	14
Billy	1902	8	22
Blair	1902		10
Bobbie	1902	31	6
Brooks	1902		11
Cameron	1902		6
Carey	1902	5	12
Carmen	1902	75	5
Carol	1902	80	6
Carroll	1902		52
Carson	1902		17
Carter	1902		11
Cary	1902		12
Cecil	1902	112	354
Charley	1902		168
Charlie	1902	35	761
Chris	1902		37
Christian	1902		33
Clare	1902	57	15
Cleo	1902	198	33
Clyde	1902	50	382
Connie	1902	59	16
Courtney	1902		5
Cruz	1902	10	5
Dale	1902	14	63
Dallas	1902		31
Dana	1902	6	9
Dean	1902	8	40
Dee	1902		26
Donnie	1902	29	
Eddie	1902	68	353
Elisha	1902		23
Elliot	1902		6
Elliott	1902		29
Ellis	1902	10	112
Emerson	1902		28
Emery	1902		39
Emory	1902		58
Erin	1902	7	
Fay	1902	181	32
Francis	1902	140	597
Frankie	1902	88	
Freddie	1902	19	38
Gail	1902	26	11
Gale	1902		9
Gayle	1902	18	
Gene	1902	25	41
Guadalupe	1902	35	7
Harley	1902		83
Hayden	1902		5
Hilary	1902		8
Hunter	1902	6	15
Ira	1902	37	156
Ivy	1902	76	10
Jackie	1902	6	
Jamie	1902	15	
Jan	1902		5
Jean	1902	408	22
Jerry	1902	10	148
Jessie	1902	1240	323
Jewel	1902	153	13
Jewell	1902	201	19
Jimmie	1902	93	123
Jimmy	1902		18
Joan	1902	65	
Jodie	1902	6	5
Johnie	1902	34	113
Johnnie	1902	154	221
Jordan	1902		6
Joy	1902	38	9
June	1902	128	6
Justice	1902		5
Justine	1902	23	
Kay	1902	26	5
Kelley	1902		11
Kelly	1902		16
Kirby	1902		8
Kyle	1902		7
Lacy	1902	12	22
Laurel	1902	10	6
Laverne	1902	37	12
Lee	1902	134	475
Leslie	1902	37	251
Lindsay	1902		9
Lindsey	1902		13
Lindy	1902	5	
Logan	1902		13
Lois	1902	594	7
Lonnie	1902	25	138
Loren	1902		33
Lou	1902	121	6
Louie	1902	24	60
Lupe	1902	11	8
Lynn	1902	9	39
Madison	1902		7
Marion	1902	1033	176
Mckinley	1902		58
Meredith	1902	8	9
Merle	1902	112	58
Mickey	1902		7
Monroe	1902		59
Morgan	1902		23
Noel	1902		22
Nova	1902	18	
Oakley	1902		12
Odell	1902	19	30
Ollie	1902	428	110
Ora	1902	427	43
Parker	1902		8
Pat	1902	7	35
Patsy	1902	34	10
Perry	1902		108
Quincy	1902	5	9
Ray	1902	40	391
Reece	1902		7
Reese	1902		12
Rene	1902	9	11
Riley	1902		37
Robbie	1902	43	8
Ronnie	1902	5	
Sammie	1902	17	21
Sandy	1902		19
Shelby	1902		11
Shelly	1902		8
Shirley	1902	104	22
Sidney	1902	28	175
Spencer	1902		32
Sterling	1902		30
Sydney	1902	5	13
Taylor	1902		20
Teddy	1902		11
Terrell	1902		5
Terry	1902		18
Toby	1902	5	
Tommie	1902	49	67
Tommy	1902		32
Tracy	1902	8	6
Unknown	1902	7	16
Van	1902	7	33
Vernon	1902	13	175
Willie	1902	1071	1565
Addison	1903		15
Adrian	1903		23
Allie	1903	247	18
Allison	1903		12
Alva	1903	58	50
Andrea	1903	14	
Antonia	1903	57	
Asa	1903		26
Ashley	1903		7
Aubrey	1903	9	56
August	1903		116
Avery	1903	6	13
Bailey	1903		5
Bennie	1903	37	144
Beverly	1903	9	13
Billie	1903	83	20
Billy	1903		20
Bobbie	1903	28	9
Brooks	1903		12
Campbell	1903		6
Carey	1903		16
Carmen	1903	90	11
Carol	1903	67	10
Carroll	1903		60
Carson	1903		14
Carter	1903		23
Cary	1903	12	9
Casey	1903		10
Cecil	1903	103	332
Charley	1903		126
Charlie	1903	37	739
Chris	1903		35
Christian	1903		36
Clare	1903	57	12
Cleo	1903	221	40
Clyde	1903	52	413
Connie	1903	78	20
Courtney	1903	6	9
Cruz	1903		5
Dale	1903	7	56
Dallas	1903	9	39
Dana	1903	14	9
Dean	1903	12	27
Dee	1903	13	25
Diamond	1903		5
Donnie	1903	36	9
Eddie	1903	69	314
Elisha	1903		25
Elliot	1903		7
Elliott	1903		28
Ellis	1903	6	110
Emerson	1903		26
Emery	1903		35
Emory	1903		32
Erin	1903	10	
Fay	1903	190	36
Francis	1903	109	665
Frankie	1903	81	5
Freddie	1903	21	45
Gail	1903	31	17
Gale	1903		12
Gene	1903	32	45
Guadalupe	1903	31	17
Harley	1903		65
Hayden	1903		7
Hunter	1903		5
Ira	1903	34	167
Ivy	1903	66	9
Jackie	1903	12	
Jamie	1903	9	
Jean	1903	462	22
Jerry	1903	7	112
Jessie	1903	1202	280
Jewel	1903	197	14
Jewell	1903	197	19
Jimmie	1903	83	128
Jimmy	1903		26
Joan	1903	63	5
Jodie	1903	11	8
Johnie	1903	27	99
Johnnie	1903	141	237
Jordan	1903		21
Joy	1903	30	9
June	1903	143	12
Justine	1903	15	
Kay	1903	37	5
Kaye	1903	6	
Kelly	1903		21
Kirby	1903		5
Kyle	1903		7
Lacy	1903	9	23
Lane	1903		5
Laurel	1903		6
Laverne	1903	41	10
Lee	1903	110	477
Lesley	1903		17
Leslie	1903	24	227
Lindsay	1903		10
Lindsey	1903		18
Logan	1903		12
Lois	1903	664	8
Lonnie	1903	30	145
Loren	1903		38
Lou	1903	133	11
Louie	1903	21	44
Lupe	1903	17	7
Lynn	1903	9	34
Madison	1903		18
Marion	1903	1042	188
Marty	1903		8
Mckinley	1903		45
Meredith	1903	8	6
Merle	1903	113	69
Mickey	1903	10	
Monroe	1903		67
Morgan	1903		26
Noel	1903		28
Nova	1903	21	
Oakley	1903		5
Odell	1903	14	30
Ollie	1903	460	79
Ora	1903	399	34
Paris	1903		11
Parker	1903		16
Pat	1903	8	33
Patsy	1903	20	16
Perry	1903		88
Peyton	1903		5
Presley	1903		9
Quincy	1903		13
Ray	1903	34	397
Reece	1903		7
Reese	1903		5
Rene	1903	5	15
Riley	1903		29
Robbie	1903	59	5
Robin	1903		5
Ronnie	1903	6	5
Royce	1903		10
Sammie	1903	18	12
Sandy	1903		14
Shelby	1903		18
Shirley	1903	102	17
Sidney	1903	19	162
Spencer	1903		28
Stacy	1903	7	9
Sterling	1903		31
Sydney	1903	5	23
Taylor	1903		20
Teddy	1903		14
Terrell	1903		8
Terry	1903	6	18
Toby	1903	7	
Tommie	1903	50	79
Tommy	1903	10	44
Tracy	1903	12	9
Unknown	1903	6	6
Van	1903		38
Vernon	1903	11	179
Whitney	1903		6
Willie	1903	1014	1454
Addison	1904		9
Adrian	1904		30
Allie	1904	261	14
Allison	1904		6
Alva	1904	49	49
Andrea	1904	21	
Antonia	1904	61	
Ariel	1904	6	
Asa	1904		24
Ashley	1904		11
Aubrey	1904	9	60
August	1904		127
Avery	1904		18
Bailey	1904		10
Bennie	1904	34	158
Beverly	1904	13	11
Billie	1904	68	19
Billy	1904	6	21
Blair	1904		7
Bobbie	1904	26	5
Bobby	1904	8	8
Brooks	1904		11
Carey	1904		17
Carmen	1904	80	12
Carol	1904	98	
Carroll	1904	13	70
Carson	1904		10
Carter	1904		25
Cary	1904	5	12
Casey	1904		7
Cecil	1904	130	359
Charley	1904		166
Charlie	1904	28	739
Chris	1904		27
Christian	1904		30
Clare	1904	59	12
Cleo	1904	230	40
Clyde	1904	55	457
Connie	1904	78	11
Courtney	1904		7
Cruz	1904	9	
Dale	1904	12	53
Dallas	1904	9	38
Dana	1904	11	11
Dean	1904	9	28
Dee	1904	14	21
Donnie	1904	36	8
Drew	1904		8
Eddie	1904	70	315
Elisha	1904		25
Elliot	1904		9
Elliott	1904		27
Ellis	1904		106
Emerson	1904		30
Emery	1904		30
Emory	1904		42
Erin	1904	7	
Fay	1904	186	19
Finley	1904		5
Francis	1904	122	686
Frankie	1904	92	6
Freddie	1904	31	39
Gail	1904	36	12
Gale	1904		6
Gayle	1904	9	6
Gene	1904	23	58
Gerry	1904		7
Guadalupe	1904	46	16
Harley	1904		56
Hayden	1904		9
Hilary	1904		5
Hunter	1904		17
Ira	1904	28	144
Ivy	1904	70	12
Jackie	1904	20	5
Jamie	1904	11	9
Jean	1904	483	26
Jerry	1904	8	177
Jessie	1904	1197	313
Jewel	1904	229	25
Jewell	1904	202	24
Jimmie	1904	87	124
Jimmy	1904		28
Joan	1904	73	
Jodie	1904	7	10
Johnie	1904	31	107
Johnnie	1904	175	267
Jordan	1904		9
Joy	1904	36	10
June	1904	133	9
Justice	1904		5
Justine	1904	16	
Kay	1904	39	
Kelley	1904		5
Kelly	1904		13
Kirby	1904		7
Kyle	1904		10
Lacy	1904	14	22
Laurel	1904	16	9
Lauren	1904		5
Laverne	1904	47	14
Lee	1904	139	532
Lesley	1904		7
Leslie	1904	30	236
Lindsay	1904		13
Lindsey	1904		10
Lindy	1904	5	
Logan	1904		13
Lois	1904	727	8
Lonnie	1904	17	133
Loren	1904		37
Lou	1904	117	7
Louie	1904	15	67
Lupe	1904	23	6
Lynn	1904	11	40
Madison	1904		11
Marion	1904	1109	198
Marty	1904		8
Mckinley	1904		60
Meredith	1904	5	8
Merle	1904	92	53
Monroe	1904		64
Morgan	1904		18
Noel	1904		22
Nova	1904	24	
Oakley	1904		7
Odell	1904	29	34
Ollie	1904	456	100
Ora	1904	412	36
Paris	1904		6
Parker	1904		25
Pat	1904	6	35
Patsy	1904	31	17
Perry	1904	7	93
Ray	1904	30	432
Reese	1904		11
Rene	1904	6	17
Riley	1904		32
Robbie	1904	44	
Robin	1904	6	6
Royce	1904		8
Sammie	1904	28	34
Sandy	1904		20
Shannon	1904		7
Shelby	1904		12
Shelly	1904		8
Shirley	1904	138	24
Sidney	1904	21	201
Spencer	1904		44
Stacy	1904	8	7
Sterling	1904		33
Sydney	1904	6	28
Taylor	1904		31
Teddy	1904		17
Terry	1904		18
Tommie	1904	58	60
Tommy	1904		32
Tracy	1904		7
Unknown	1904	10	7
Van	1904	5	31
Vernon	1904	14	178
Whitney	1904		6
Willie	1904	1188	1675
Addison	1905		16
Adrian	1905		33
Allie	1905	298	17
Allison	1905		7
Alva	1905	58	57
Andrea	1905	11	
Antonia	1905	67	
Ariel	1905	5	
Asa	1905		22
Ashley	1905		10
Aubrey	1905	9	69
August	1905		109
Avery	1905		22
Bailey	1905		10
Bennie	1905	32	136
Beverly	1905	16	16
Billie	1905	112	27
Billy	1905		20
Blair	1905		7
Bobbie	1905	54	6
Bobby	1905		11
Brooks	1905		8
Cameron	1905		5
Campbell	1905		6
Carey	1905	7	19
Carmen	1905	89	12
Carol	1905	91	6
Carroll	1905		72
Carson	1905		12
Carter	1905		16
Cary	1905	8	13
Casey	1905		5
Cecil	1905	117	347
Charley	1905		168
Charlie	1905	39	801
Chris	1905		25
Christian	1905		26
Clare	1905	67	14
Cleo	1905	248	49
Clyde	1905	57	474
Connie	1905	74	15
Courtney	1905	11	
Cruz	1905	7	12
Dale	1905	11	65
Dallas	1905	12	40
Dana	1905	7	15
Dean	1905	7	42
Dee	1905	9	36
Donnie	1905	44	9
Drew	1905		6
Eddie	1905	85	346
Elisha	1905		16
Elliot	1905		10
Elliott	1905		32
Ellis	1905		103
Emerson	1905		36
Emery	1905		45
Emory	1905		43
Erin	1905	9	
Fay	1905	215	28
Finley	1905		11
Francis	1905	149	685
Frankie	1905	128	6
Freddie	1905	28	46
Gail	1905	14	8
Gale	1905	7	11
Gayle	1905	20	
Gene	1905	24	44
Gerry	1905		5
Grayson	1905		6
Guadalupe	1905	54	20
Harley	1905		69
Harper	1905		13
Hayden	1905		10
Hilary	1905		6
Hunter	1905		14
Ira	1905	43	169
Ivy	1905	75	9
Jackie	1905	9	
Jamie	1905	23	9
Jean	1905	548	22
Jerry	1905	12	177
Jessie	1905	1315	338
Jewel	1905	201	23
Jewell	1905	253	19
Jimmie	1905	106	136
Jimmy	1905		25
Joan	1905	105	
Jodie	1905	12	12
Johnie	1905	36	148
Johnnie	1905	181	297
Jordan	1905		9
Joy	1905	38	6
June	1905	148	7
Justine	1905	25	
Kay	1905	49	5
Kelley	1905		8
Kelly	1905		11
Kirby	1905		8
Kyle	1905		9
Lacy	1905	15	18
Lane	1905		6
Laurel	1905	8	6
Lauren	1905		6
Laverne	1905	53	24
Lee	1905	165	486
Lesley	1905		10
Leslie	1905	35	237
Lindsay	1905		9
Lindsey	1905		14
Logan	1905		19
Lois	1905	763	8
Lonnie	1905	35	179
Loren	1905		47
Lou	1905	143	13
Louie	1905	20	71
Lupe	1905	35	
Lynn	1905	14	28
Madison	1905		13
Marion	1905	1141	170
Marty	1905		5
Mckinley	1905		35
Meredith	1905	10	9
Merle	1905	110	59
Michele	1905		5
Monroe	1905		79
Morgan	1905		30
Noel	1905		39
Nova	1905	30	
Oakley	1905		9
Odell	1905	32	30
Ollie	1905	486	99
Ora	1905	431	39
Parker	1905		14
Pat	1905	6	35
Patsy	1905	41	29
Perry	1905	6	104
Presley	1905		7
Quincy	1905		15
Ray	1905	43	424
Reece	1905		6
Reese	1905		13
Rene	1905	9	7
Riley	1905		34
Robbie	1905	60	
Robin	1905		5
Royce	1905		7
Sammie	1905	21	32
Sandy	1905		33
Shannon	1905		5
Shelby	1905		18
Shelly	1905		5
Shirley	1905	162	16
Sidney	1905	17	196
Spencer	1905		38
Stacy	1905	6	
Sterling	1905		30
Sydney	1905	21	28
Taylor	1905		30
Teddy	1905	5	21
Terry	1905	9	15
Toby	1905		8
Tommie	1905	72	61
Tommy	1905	9	37
Tracy	1905	8	
Unknown	1905	11	9
Van	1905		34
Vernon	1905	14	209
Whitney	1905		5
Willie	1905	1285	1782
Addison	1906		7
Adrian	1906		34
Allie	1906	225	23
Allison	1906		8
Alva	1906	65	64
Andrea	1906	14	
Antonia	1906	57	
Ariel	1906	8	
Asa	1906		17
Ashley	1906		13
Ashton	1906		6
Aubrey	1906	5	67
August	1906		120
Avery	1906		17
Bailey	1906		15
Bennie	1906	43	133
Beverly	1906	31	8
Billie	1906	127	21
Billy	1906		14
Blair	1906		13
Bobbie	1906	44	6
Bobby	1906		7
Brooks	1906		12
Cameron	1906		7
Carey	1906	6	15
Carmen	1906	135	20
Carol	1906	97	7
Carroll	1906		62
Carson	1906		13
Carter	1906		15
Cary	1906		16
Casey	1906		12
Cecil	1906	109	368
Charley	1906		157
Charlie	1906	28	744
Chris	1906		30
Christian	1906		33
Clare	1906	59	13
Cleo	1906	238	52
Clyde	1906	64	457
Cody	1906		5
Connie	1906	89	21
Courtney	1906	6	
Cruz	1906	11	5
Dale	1906	9	66
Dallas	1906	8	41
Dana	1906	10	15
Dean	1906	5	38
Dee	1906	19	38
Donnie	1906	22	5
Drew	1906		6
Eddie	1906	85	377
Elisha	1906		15
Elliot	1906		5
Elliott	1906		25
Ellis	1906	6	101
Emerson	1906		28
Emery	1906	5	34
Emory	1906		39
Erin	1906	10	
Fay	1906	215	15
Finley	1906		9
Francis	1906	139	737
Frankie	1906	110	
Freddie	1906	26	51
Gail	1906	34	12
Gayle	1906	12	5
Gene	1906	25	63
Guadalupe	1906	54	15
Hadley	1906		6
Harley	1906		52
Harper	1906		11
Hayden	1906		11
Hunter	1906		13
Ira	1906	37	151
Ivy	1906	64	8
Jackie	1906	14	
Jamie	1906	16	5
Jan	1906		5
Jean	1906	666	28
Jerry	1906	17	146
Jessie	1906	1247	323
Jewel	1906	227	21
Jewell	1906	255	26
Jimmie	1906	89	139
Jimmy	1906		43
Joan	1906	94	
Jodie	1906	5	10
Johnie	1906	32	141
Johnnie	1906	199	255
Jordan	1906		9
Joy	1906	40	7
June	1906	153	9
Justine	1906	37	
Kay	1906	42	5
Kelley	1906		5
Kelly	1906		20
Kendall	1906		5
Kirby	1906		5
Kyle	1906		10
Lacy	1906	15	26
Laurel	1906	7	
Lauren	1906		7
Laverne	1906	73	16
Lee	1906	150	436
Leigh	1906		5
Lesley	1906		7
Leslie	1906	29	263
Lindsey	1906		18
Logan	1906		11
Lois	1906	799	16
Lonnie	1906	43	156
Loren	1906		47
Lou	1906	100	
Louie	1906	25	54
Lupe	1906	24	
Lynn	1906	14	40
Madison	1906		14
Marion	1906	1183	181
Mckinley	1906		35
Meredith	1906	6	8
Merle	1906	84	72
Mickey	1906	5	6
Milan	1906		5
Monroe	1906		72
Morgan	1906		25
Noel	1906		33
Nova	1906	27	
Oakley	1906		5
Odell	1906	43	48
Ollie	1906	458	95
Ora	1906	407	34
Paris	1906		10
Parker	1906		16
Pat	1906	7	35
Patsy	1906	41	9
Perry	1906	5	97
Presley	1906		5
Quincy	1906		6
Ray	1906	44	421
Reece	1906		7
Reese	1906		8
Rene	1906	11	21
Riley	1906		37
Robbie	1906	49	
Robin	1906		6
Royce	1906		10
Sammie	1906	16	32
Sandy	1906		18
Shannon	1906		5
Shelby	1906		29
Shirley	1906	187	23
Sidney	1906	16	209
Spencer	1906		29
Stacy	1906	8	5
Sterling	1906		32
Sydney	1906	6	20
Taylor	1906		26
Teddy	1906	8	17
Terry	1906	10	13
Toby	1906		5
Tommie	1906	79	79
Tommy	1906		28
Tracy	1906	8	16
Unknown	1906		9
Van	1906		25
Vernon	1906	8	223
Whitney	1906		7
Willie	1906	1233	1756
Addison	1907		11
Adrian	1907		31
Alexis	1907		5
Allie	1907	265	18
Allison	1907		13
Alva	1907	74	59
Andrea	1907	22	
Angel	1907	6	9
Antonia	1907	72	
Ariel	1907	9	
Asa	1907		39
Ashley	1907		7
Aubrey	1907	9	76
August	1907		134
Avery	1907	6	17
Bailey	1907		14
Bennie	1907	45	145
Beverly	1907	26	14
Billie	1907	118	18
Billy	1907	7	20
Blair	1907		7
Bobbie	1907	53	10
Bobby	1907	9	5
Brooks	1907		16
Cameron	1907		8
Carey	1907		11
Carmen	1907	125	23
Carol	1907	112	11
Carroll	1907	6	72
Carson	1907		15
Carter	1907		18
Cary	1907	6	14
Casey	1907		8
Cecil	1907	127	399
Chandler	1907		6
Charley	1907		164
Charlie	1907	43	793
Chris	1907		29
Christian	1907		32
Clare	1907	55	14
Cleo	1907	325	56
Clyde	1907	56	507
Connie	1907	103	19
Courtney	1907		8
Cruz	1907	13	10
Dale	1907	10	73
Dallas	1907	7	49
Dana	1907	11	15
Dean	1907	8	41
Dee	1907	15	34
Donnie	1907	37	6
Drew	1907		8
Eddie	1907	77	394
Elisha	1907		21
Elliot	1907		8
Elliott	1907		22
Ellis	1907	7	120
Emerson	1907		41
Emery	1907		43
Emory	1907		52
Erin	1907	8	
Fay	1907	257	15
Finley	1907		6
Francis	1907	162	717
Frankie	1907	89	9
Freddie	1907	28	74
Gail	1907	35	19
Gale	1907		15
Gayle	1907	20	
Gene	1907	24	65
Guadalupe	1907	50	14
Harley	1907		75
Harper	1907		5
Hayden	1907		9
Hilary	1907		5
Hunter	1907		13
Ira	1907	28	196
Ivy	1907	70	13
Jackie	1907	15	
Jamie	1907	15	
Jean	1907	770	40
Jerry	1907	15	165
Jessie	1907	1314	386
Jewel	1907	250	31
Jewell	1907	284	27
Jimmie	1907	109	161
Jimmy	1907		29
Joan	1907	109	
Jodie	1907	11	18
Johnie	1907	55	133
Johnnie	1907	227	307
Jordan	1907		13
Joy	1907	38	7
June	1907	193	12
Justine	1907	32	
Kay	1907	53	6
Kelley	1907		9
Kelly	1907	5	29
Kendall	1907		8
Kirby	1907		12
Kyle	1907		8
Lacy	1907	16	30
Laurel	1907	8	
Lauren	1907		6
Laverne	1907	58	25
Lee	1907	192	516
Leigh	1907		6
Leighton	1907		7
Leslie	1907	34	273
Lindsay	1907		9
Lindsey	1907		15
Lindy	1907	6	
Logan	1907		8
Lois	1907	899	13
Lonnie	1907	31	182
Loren	1907		45
Lou	1907	124	12
Louie	1907	28	72
Lupe	1907	32	7
Lynn	1907	14	48
Madison	1907		19
Marion	1907	1251	226
Marty	1907		6
Mckinley	1907		39
Meredith	1907	13	10
Merle	1907	112	82
Mickey	1907	8	7
Milan	1907		7
Monroe	1907		72
Morgan	1907		21
Noel	1907		32
Nova	1907	32	
Oakley	1907		6
Odell	1907	44	38
Ollie	1907	462	96
Ora	1907	424	30
Paris	1907		9
Parker	1907		8
Pat	1907	11	33
Patsy	1907	40	16
Perry	1907	7	86
Peyton	1907		6
Presley	1907		5
Quincy	1907		17
Ray	1907	38	475
Reece	1907		5
Reese	1907		8
Rene	1907	12	19
Riley	1907		40
Robbie	1907	58	8
Robin	1907		6
Royce	1907		8
Sammie	1907	16	39
Sandy	1907		27
Shannon	1907		6
Shelby	1907		14
Shelly	1907		5
Shirley	1907	247	17
Sidney	1907	20	200
Spencer	1907		41
Stacy	1907		10
Sterling	1907		39
Sydney	1907	7	20
